search_term	prefix	rule_name	confidence	all_fields_raw_rows	prior_accepted_rows	non_target_organism_rows	target_organism_rows	clear_noise_rows	current_policy_recommendation	field_strategy_recommendation	example_title
B[All Fields] AND 497[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 499[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 4[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from soil metagenome
B[All Fields] AND 5000[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	B12
B[All Fields] AND 50[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	SMARCA4_Fixed_B
B[All Fields] AND 565[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 589[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 5[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from soil metagenome
B[All Fields] AND 6141[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_00636696 in SPIRE v01 classified as Comamonas kerstersii
B[All Fields] AND 618[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 621[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 639[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 63[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from anaerobic digester metagenome
B[All Fields] AND 641[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 644[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 648[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 649[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 650[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 651[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 652[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 657[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 658[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 659[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 672[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 67[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from anaerobic digester metagenome
B[All Fields] AND 6[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from soil metagenome
B[All Fields] AND 719[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 720[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 727[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 744[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 745[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 784[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 791[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 828[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 912[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 913[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 922[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 996[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 99[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Compost_16S
CARDONA[All Fields] AND 2[All Fields]	CARDONA	general_code_candidate	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Plant sample from Taxus baccata
CAS[All Fields] AND 2[All Fields]	CAS	general_code_candidate	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	replicate 1_2
COR[All Fields] AND 5[All Fields]	COR	general_code_candidate	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	PBS 18m Cor Exp1 33645 5 Cx05
COR[All Fields] AND 9[All Fields]	COR	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	ON 18m Cor Exp1 33644 9 Cx09
CO[All Fields] AND 126[All Fields] AND 2[All Fields]	CO	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-assembled genome: SONG20-1_SAMN10739805_MAG_00000010
CO[All Fields] AND 8[All Fields]	CO	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-assembled genome: TARA_SAMEA6047424_MAG_00000025
C[All Fields] AND 398[All Fields]	C	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	HCV
C[All Fields] AND 555[All Fields]	C	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	TR-1um-CUT-18
C[All Fields] AND 596[All Fields]	C	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	HCV
C[All Fields] AND 6[All Fields]	C	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Trichomonas vaginalis
C[All Fields] AND 721[All Fields]	C	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	HCV
C[All Fields] AND 783[All Fields]	C	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	KS1712-ON4-100m
C[All Fields] AND 798[All Fields]	C	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	HCV
C[All Fields] AND 799[All Fields]	C	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	HCV
DOL[All Fields] AND 3[All Fields]	DOL	general_code_candidate	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIMS Environmental/Metagenome sample from human gut metagenome
D[All Fields] AND 119[All Fields]	D	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	0-5 cm, surface marine sediment collected at station 5 in LaizhouBay
D[All Fields] AND 42[All Fields]	D	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIMAG Metagenome-assembled Genome sample from uncultured bacterium
ENA[All Fields] AND 250[All Fields]	ENA	uppercase_general_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	WWFR2409
ENA[All Fields] AND 265[All Fields]	ENA	uppercase_general_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	IGAS-265
ENA[All Fields] AND 300[All Fields]	ENA	uppercase_general_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	2024-01-6373-2-1-1-1
ENA[All Fields] AND 350[All Fields]	ENA	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	U233
ENA[All Fields] AND 568[All Fields]	ENA	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	IGAS-568
ENA[All Fields] AND 734[All Fields]	ENA	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	IGAS-734
ENA[All Fields] AND 76[All Fields]	ENA	uppercase_general_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MAG219ov rumen MAG
ENA[All Fields] AND 804[All Fields]	ENA	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	IGAS-804
E[All Fields] AND 1299[All Fields]	E	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from soil metagenome
E[All Fields] AND 1309[All Fields]	E	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Barela camel BAR_15 whole genome sample
E[All Fields] AND 1388[All Fields]	E	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Invertebrate sample from Aedes aegypti
E[All Fields] AND 3[All Fields]	E	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from soil metagenome
E[All Fields] AND 6[All Fields]	E	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Cultured Bacterial/Archaeal sample from Bacillus haynesii
E[All Fields] AND 78[All Fields]	E	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from rhizosphere metagenome
FC[All Fields] AND 1[All Fields]	FC	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from metagenome
F[All Fields] AND 6[All Fields]	F	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Female-HDM-Smallintestine-7
GUAR[All Fields] AND 1[All Fields]	GUAR	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Dichomitus squalens CBS 464.89 bmtr3MUT_1 gene expression profiling - Ds_61c
G[All Fields] AND 21[All Fields] AND 5[All Fields]	G	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIMARKS Survey related sample from water metagenome
G[All Fields] AND 2[All Fields]	G	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	0-2 cm sediment from station M8 in the Bohai Sea
G[All Fields] AND 6[All Fields]	G	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	VS96
HEL[All Fields] AND 1[All Fields]	HEL	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	F. sylvatica Helsa (Kaufunger Wald)
IL[All Fields] AND 02[All Fields]	IL	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIMARKS Survey related sample from human metagenome
IL[All Fields] AND 1[All Fields]	IL	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	mammary epithelial cells, IL-21 isofom Transgenic mice 1
KH[All Fields] AND 2[All Fields]	KH	general_code_candidate	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIMARKS Survey related sample from wetland metagenome
